age
78
54
37
72
68
80
67
58
77
64
63
56
69
75
76
61
45
58
71
79
75
63
68
56
82
38
55
53
64
68
65
65
74
67
61
78
52
65
69
64
69
75
53
58
35
43
66
83
73
51
88
77
79
79
63
62
67
73
79
59
78
59
38
49
62
61
74
72
60
60
82
67
64
73
67
77
66
79
48
76
66
67
68
67
80
68
32
63
80
67
37
71
60
74
80
85
59
65
57
73
66
66
64
68
59
66
63
79
44
66
61
80
57
55
52
50
78
71
81
43
80
47
71
73
87
67
82
78
60
63
72
68
64
83
66
68
63
45
84
72
72
66
74
63
58
70
40
80
62
24
45
67
65
59
64
70
66
77
67
51
42
72
70
54
62
