"illumina_humanht_12_v3","ensembl_gene_id","gene_biotype","external_gene_name"
"ILMN_1786598","ENSG00000187955","protein_coding","COL14A1"
"ILMN_1661799","ENSG00000181061","protein_coding","HIGD1A"
"ILMN_1661799","ENSG00000235288","lncRNA","AC099329.1"
"ILMN_1747305","ENSG00000171115","protein_coding","GIMAP8"
"ILMN_1653788","ENSG00000212864","protein_coding","RNF208"
"ILMN_1671331","ENSG00000167046","lncRNA","AL357033.1"
"ILMN_1669659","ENSG00000205177","protein_coding","C11orf91"
"ILMN_1669659","ENSG00000085063","protein_coding","CD59"
"ILMN_1737076","ENSG00000114455","protein_coding","HHLA2"
"ILMN_1813390","ENSG00000221888","protein_coding","OR1C1"
"ILMN_1741917","ENSG00000170909","protein_coding","OSCAR"
"ILMN_1805990","ENSG00000175730","processed_pseudogene","BAK1P1"
"ILMN_1756525","ENSG00000076321","protein_coding","KLHL20"
"ILMN_1737935","ENSG00000127603","protein_coding","MACF1"
"ILMN_1782538","ENSG00000026025","protein_coding","VIM"
"ILMN_1716872","ENSG00000204031","unprocessed_pseudogene","LCN1P2"
"ILMN_1682717","ENSG00000137331","protein_coding","IER3"
"ILMN_1709820","ENSG00000136250","protein_coding","AOAH"
"ILMN_1748473","ENSG00000133574","protein_coding","GIMAP4"
"ILMN_1785635","ENSG00000169925","protein_coding","BRD3"
"ILMN_1814552","ENSG00000182310","protein_coding","SPACA6"
"ILMN_1840175","ENSG00000254377","lncRNA","MIR124-2HG"
"ILMN_1666625","ENSG00000117245","protein_coding","KIF17"
"ILMN_1684943","ENSG00000163519","protein_coding","TRAT1"
"ILMN_1699585","ENSG00000180828","protein_coding","BHLHE22"
"ILMN_1658847","ENSG00000198435","protein_coding","NRARP"
"ILMN_1673026","ENSG00000106554","protein_coding","CHCHD3"
"ILMN_1794468","ENSG00000011478","protein_coding","QPCTL"
"ILMN_1733932","ENSG00000169371","protein_coding","SNUPN"
"ILMN_1657435","ENSG00000205364","protein_coding","MT1M"
"ILMN_1769383","ENSG00000196329","protein_coding","GIMAP5"
"ILMN_1769383","ENSG00000281887","protein_coding","GIMAP1-GIMAP5"
"ILMN_1849013","ENSG00000134352","protein_coding","IL6ST"
"ILMN_1733932","ENSG00000260269","lncRNA","AC105036.3"
"ILMN_1686405","ENSG00000128052","protein_coding","KDR"
"ILMN_1699160","ENSG00000113263","protein_coding","ITK"
"ILMN_1858599","ENSG00000184898","protein_coding","RBM43"
"ILMN_1748591","ENSG00000115758","protein_coding","ODC1"
"ILMN_1718071","ENSG00000135049","protein_coding","AGTPBP1"
"ILMN_1721626","ENSG00000150347","protein_coding","ARID5B"
"ILMN_1667295","ENSG00000274334","protein_coding","VASN"
"ILMN_1710985","ENSG00000274636","protein_coding","GLIS2"
"ILMN_1901934","ENSG00000196693","protein_coding","ZNF33B"
"ILMN_1686725","ENSG00000100697","protein_coding","DICER1"
"ILMN_1763207","ENSG00000123685","protein_coding","BATF3"
"ILMN_1726805","ENSG00000111450","protein_coding","STX2"
"ILMN_1776249","ENSG00000179965","protein_coding","ZNF771"
"ILMN_1802360","ENSG00000205867","protein_coding","KRTAP5-2"
"ILMN_1815057","ENSG00000113721","protein_coding","PDGFRB"
"ILMN_1704730","ENSG00000125810","protein_coding","CD93"
"ILMN_1659265","ENSG00000196466","protein_coding","ZNF799"
"ILMN_1659265","ENSG00000180855","protein_coding","ZNF443"
"ILMN_1796523","ENSG00000217128","protein_coding","FNIP1"
"ILMN_1775224","ENSG00000164867","protein_coding","NOS3"
"ILMN_1666493","ENSG00000184451","protein_coding","CCR10"
"ILMN_1751326","ENSG00000183807","protein_coding","FAM162B"
"ILMN_1752557","ENSG00000115488","protein_coding","NEU2"
"ILMN_1783840","ENSG00000196460","protein_coding","RFX8"
"ILMN_1725620","ENSG00000278311","protein_coding","GGNBP2"
"ILMN_1665540","ENSG00000260404","transcribed_unprocessed_pseudogene","AC110079.1"
"ILMN_1753729","ENSG00000113889","protein_coding","KNG1"
"ILMN_1832211","ENSG00000163013","protein_coding","FBXO41"
"ILMN_1698732","ENSG00000129116","protein_coding","PALLD"
"ILMN_1695947","ENSG00000177098","protein_coding","SCN4B"
"ILMN_1719236","ENSG00000179776","protein_coding","CDH5"
"ILMN_1658333","ENSG00000143369","protein_coding","ECM1"
"ILMN_1716859","ENSG00000151790","protein_coding","TDO2"
"ILMN_1684357","ENSG00000176438","protein_coding","SYNE3"
"ILMN_1676998","ENSG00000149575","protein_coding","SCN2B"
"ILMN_1844057","ENSG00000250993","lncRNA","AC020551.1"
"ILMN_1706505","ENSG00000130635","protein_coding","COL5A1"
